Store No.,Name,Address,Street,City,State,Zip_Code,County,URL,Hours,Phone
113,Bj's Wholesale Club Plymouth,"105 Shops At 5 Way, Plymouth, MA, 02360",105 Shops At 5 Way,Plymouth,MA,2360,Plymouth,https://www.bjs.com/cl/Plymouth/0113,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-8 PM |  Sat :- 9 AM-7PM,508-732-0420
205,Bj's Wholesale Club Waltham,"66 Seyon St, Waltham, MA, 02453",66 Seyon St,Waltham,MA,2453,Middlesex,https://www.bjs.com/cl/Waltham/0205,Mon/Tues/Thurs/Fri :- 10 AM-7 PM | Sat :- 9 AM-2PM |  Sun :- 12 PM-5 PM,781-891-0136
353,Bj's Wholesale Club Quincy,"200 Crown Colony Dr, Quincy, MA, 02169",200 Crown Colony Dr,Quincy,MA,2169,Norfolk,https://www.bjs.com/cl/Quincy/0353,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,617-479-0166
23,Bj's Wholesale Club North Dartmouth,"460 State Rd, North Dartmouth, MA, 02747",460 State Rd,North Dartmouth,MA,2747,Bristol,https://www.bjs.com/cl/North-Dartmouth/0023,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,508-997-1600
34,Bj's Wholesale Club Stoughton,"901 Technology Center Dr, Stoughton, MA, 02072",901 Technology Center Dr,Stoughton,MA,2072,Norfolk,https://www.bjs.com/cl/Stoughton/0034,Tues-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,781-341-0110
209,Bj's Wholesale Club Hudson,"1 Highland Commons West, Hudson, MA, 01749",1 Highland Commons West,Hudson,MA,1749,Middlesex,https://www.bjs.com/cl/Hudson/0209,Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,978-568-0683
216,Bj's Wholesale Club Seekonk,"175 Highland Ave, Seekonk, MA, 02771",175 Highland Ave,Seekonk,MA,2771,Bristol,https://www.bjs.com/cl/Seekonk/0216,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,508-336-4583
159,Bj's Wholesale Club Taunton,"2085 Bay St, Taunton, MA, 02780",2085 Bay St,Taunton,MA,2780,Bristol,https://www.bjs.com/cl/Taunton/0159,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,508-823-1027
189,Bj's Wholesale Club Haverhill,"25 Shelley Rd, Haverhill, MA, 01835",25 Shelley Rd,Haverhill,MA,1835,Essex,https://www.bjs.com/cl/Haverhill/0189,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,978-374-0236
50,Bj's Wholesale Club Stoneham,"85 Cedar St, Stoneham, MA, 02180",85 Cedar St,Stoneham,MA,2180,Middlesex,https://www.bjs.com/cl/Stoneham/0050,Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM   |  Sun :- 12 PM-5 PM,781-279-4347
321,Bj's Wholesale Club Hyannis,"420 Attucks Ln, Hyannis, MA, 02601",420 Attucks Ln,Hyannis,MA,2601,Barnstable,https://www.bjs.com/cl/Hyannis/0321,Mon/Tues/Thurs :- 10 AM-6PM | Wed/Fri :- 10AM-7 PM |  Sat :- 9 AM-5PM,508-771-0826
211,Bj's Wholesale Club Northborough,"6102 Shops Way, Northborough, MA, 01532",6102 Shops Way,Northborough,MA,1532,Worcester,https://www.bjs.com/cl/Northborough/0211,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,508-393-3211
18,Bj's Wholesale Club Weymouth,"622 Washington St Rte 53, Weymouth, MA, 02188",622 Washington St Rte 53,Weymouth,MA,2188,Norfolk,https://www.bjs.com/cl/Weymouth/0018,Sun :- 12 PM-5 PM  | Tues-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7 PM,781-335-9019
20,Bj's Wholesale Club Chicopee,"650 Memorial Dr, Chicopee, MA, 01020",650 Memorial Dr,Chicopee,MA,1020,Hampden,https://www.bjs.com/cl/Chicopee/0020,Sun :- 11 AM-4PM  |  Mon-Fri :- 9 AM-7 PM |  Sat :- 9 AM-6 PM,413-593-5355
60,Bj's Wholesale Club Columbia,"9011 Snowden River Pkwy, Columbia, MD, 21046",9011 Snowden River Pkwy,Columbia,MD,21046,Howard,https://www.bjs.com/cl/Columbia/0060,Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM  | Sun :- 12 PM-5 PM,410-312-2984
72,Bj's Wholesale Club Waldorf,"1000 St Nicholas Dr, Waldorf, MD, 20603",1000 St Nicholas Dr,Waldorf,MD,20603,Charles,https://www.bjs.com/cl/Waldorf/0072,Tues-Fri :- 10 AM-7 PM | Sat :- 9 AM-6 PM,301-705-5100
317,Bj's Wholesale Club Lexington Park,"44950 Worth Ln, California, MD, 20619",44950 Worth Ln,California,MD,20619,St. Mary's,https://www.bjs.com/cl/Lexington-Park/0317,Sun :- 12 PM-5 PM | Mon-Fri :- 10 AM-6 PM | Sat :- 9 AM-6 PM,301-862-1000
131,Bj's Wholesale Club Westminster,"820 Market St, Westminster, MD, 21157",820 Market St,Westminster,MD,21157,Carroll,https://www.bjs.com/cl/Westminster/0131,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,410-848-2507
61,Bj's Wholesale Club Owings Mills,"55 Music Fair Rd, Owings Mills, MD, 21117",55 Music Fair Rd,Owings Mills,MD,21117,Baltimore,https://www.bjs.com/cl/Owings-Mills/0061,Sun:12PM-5PM | Mon-Fri :- 10 AM-6 PM |  Sat :- 9AM-7PM,410-356-6974
59,Bj's Wholesale Club Pasadena,"8139 Ritchie Highway, Pasadena, MD, 21122",8139 Ritchie Highway,Pasadena,MD,21122,Anne Arundel,https://www.bjs.com/cl/Pasadena/0059,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,410-544-3619
40,Bj's Wholesale Club Baltimore,"4201 Wholesale Club Dr, Nottingham, MD, 21236",4201 Wholesale Club Dr,Nottingham,MD,21236,Baltimore,https://www.bjs.com/cl/Baltimore/0040,Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-6PM,410-665-7560
377,Bj's Wholesale Club Canton - Baltimore,"4701 O&sDonnell St, Baltimore, MD, 21224",4701 O&sDonnell St,Baltimore,MD,21224,Baltimore city,https://www.bjs.com/cl/Canton---Baltimore/0377,Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-6PM,410-276-1540
132,Bj's Wholesale Club Bowie,"16520 Ball Park Rd, Bowie, MD, 20716",16520 Ball Park Rd,Bowie,MD,20716,Prince George's,https://www.bjs.com/cl/Bowie/0132,Tues-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7 PM,301-805-4373
71,Bj's Wholesale Club Bel Air,"413 Constant Friendship Blvd, Abingdon, MD, 21009",413 Constant Friendship Blvd,Abingdon,MD,21009,Harford,https://www.bjs.com/cl/Bel-Air/0071,Sun:12PM-5PM | Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-6 PM,410-569-0788
207,Bj's Wholesale Club Capitol Heights,"1781 Ritchie Station Ct, Capitol Heights, MD, 20743",1781 Ritchie Station Ct,Capitol Heights,MD,20743,Prince George's,https://www.bjs.com/cl/Capitol-Heights/0207,Mon/Tues/Wed/Fri :- 10 AM-6 PM | Sat :- 9 AM-6PM,301-350-3435
310,Bj's Wholesale Club Auburn,"110 Mt Auburn Ave, Auburn, ME, 04210",110 Mt Auburn Ave,Auburn,ME,4210,Androscoggin,https://www.bjs.com/cl/Auburn/0310,Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7 PM   |  Sun :- 12 PM-5 PM,207-786-8031
374,Bj's Wholesale Club Bangor,"110 Longview Dr, Bangor, ME, 04401",110 Longview Dr,Bangor,ME,4401,Penobscot,https://www.bjs.com/cl/Bangor/0374,Sun :- 12 PM-5PM |  Mon-Fri :- 10 AM-6 PM | Sat :- 9 AM-7PM,207-262-2351
29,Bj's Wholesale Club Portland,"513 Warren Ave, Portland, ME, 04103",513 Warren Ave,Portland,ME,4103,Cumberland,https://www.bjs.com/cl/Portland/0029,Sun :- 12 PM-5PM | Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7 PM,207-878-8808
383,Bj's Wholesale Club Madison Heights,"29101 John R Road, Madison Heights, MI, 48071",29101 John R Road,Madison Heights,MI,48071,Oakland,https://www.bjs.com/cl/Madison-Heights/0383,Mon-Fri :- 10 AM-6 PM |  Sat :- 9AM-7PM |  Sun :- 12 PM-5 PM,248-548-3242
225,Bj's Wholesale Club Canton - Michigan,"43690 Ford Rd, Canton, MI, 48187",43690 Ford Rd,Canton,MI,48187,Wayne,https://www.bjs.com/cl/Canton---Michigan/0225,Mon-Fri :- 10 AM-7 PM |  Sat :- 9AM-7PM,734-459-5669
384,Bj's Wholesale Club Taylor,"15523 Racho Road, Taylor, MI, 48180",15523 Racho Road,Taylor,MI,48180,Wayne,https://www.bjs.com/cl/Taylor/0384,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,734-287-2829
385,Bj's Wholesale Club Chesterfield,"45101 Towne Center Blvd, New Baltimore, MI, 48047",45101 Towne Center Blvd,New Baltimore,MI,48047,Macomb,https://www.bjs.com/cl/Chesterfield/0385,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,586-949-3566
389,Bj's Wholesale Club Lansing,"825 N Marketplace Blvd, Lansing, MI, 48917",825 N Marketplace Blvd,Lansing,MI,48917,Eaton,https://www.bjs.com/cl/Lansing/0389,Mon-Fri :- 10 AM-7 PM |  Sat :- 9AM-7PM |  Sun :- 12 PM-5 PM,517-622-8261
114,Bj's Wholesale Club Pineville,"11715 Carolina Place Pkwy, Pineville, NC, 28134",11715 Carolina Place Pkwy,Pineville,NC,28134,Mecklenburg,https://www.bjs.com/cl/Pineville/0114,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,704-759-0278
357,Bj's Wholesale Club Burlington,"1433 Boone Station Dr, Burlington, NC, 27215",1433 Boone Station Dr,Burlington,NC,27215,Alamance,https://www.bjs.com/cl/Burlington/0357,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7PM,336-584-3986
118,Bj's Wholesale Club Mooresville,"141 Gallery Center Dr, Mooresville, NC, 28117",141 Gallery Center Dr,Mooresville,NC,28117,Iredell,https://www.bjs.com/cl/Mooresville/0118,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7PM,704-799-3476
134,Bj's Wholesale Club Concord,"7905 Lyles Ln, Concord, NC, 28027",7905 Lyles Ln,Concord,NC,28027,Cabarrus,https://www.bjs.com/cl/Concord/0134,Sun :- 12 PM-5PM | Mon-Fri :- 10 AM-6 PM | Sat :- 9 AM-6PM,704-979-0451
110,Bj's Wholesale Club Cary,"2370 Walnut St, Cary, NC, 27511",2370 Walnut St,Cary,NC,27511,Wake,https://www.bjs.com/cl/Cary/0110,Sun :- 12 PM-5 PM |  Mon-Fri :- 10 AM-7 PM | Sat :- 9 AM-7 PM,919-859-6930
123,Bj's Wholesale Club Raleigh,"8811 Brier Creek Pkwy, Raleigh, NC, 27617",8811 Brier Creek Pkwy,Raleigh,NC,27617,Wake,https://www.bjs.com/cl/Raleigh/0123,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7PM,919-572-5582
177,Bj's Wholesale Club Raleigh - Capital Boulevard,"6301 Triangle Plantation Dr, Raleigh, NC, 27616",6301 Triangle Plantation Dr,Raleigh,NC,27616,Wake,https://www.bjs.com/cl/Raleigh---Capital-Boulevard/0177,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-6 PM |  Sat :- 9 AM-7PM,919-862-0994
151,Bj's Wholesale Club Garner,"255 Shenstone Blvd, Garner, NC, 27529",255 Shenstone Blvd,Garner,NC,27529,Wake,https://www.bjs.com/cl/Garner/0151,Sun :- 12 PM-5PM  |  Mon-Fri :- 10 AM-7 PM |  Sat :- 9 AM-7PM,919-772-9246
